Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,0.007524,0.007552,0.006750,0.007418,0.007418,42149138
2018-01-02,0.007388,0.007967,0.007117,0.007582,0.007582,74143185
2018-01-03,0.007535,0.007952,0.007375,0.007760,0.007760,55245545
2018-01-04,0.007782,0.008319,0.007290,0.007993,0.007993,90324880
2018-01-05,0.008006,0.010212,0.007942,0.010116,0.010116,176573834
2018-01-06,0.010165,0.013126,0.010165,0.012357,0.012357,235880439
2018-01-07,0.012199,0.015608,0.012119,0.014196,0.014196,239415137
2018-01-08,0.014218,0.014691,0.011509,0.012570,0.012570,196435792
2018-01-09,0.012592,0.013009,0.010909,0.011252,0.011252,96633688
2018-01-10,0.011364,0.011367,0.009616,0.010960,0.010960,83850272
2018-01-11,0.010891,0.011009,0.009198,0.009525,0.009525,52090358
2018-01-12,0.009534,0.010947,0.009259,0.010707,0.010707,46720764
2018-01-13,0.010708,0.011196,0.010233,0.010680,0.010680,45834509
2018-01-14,0.010708,0.010814,0.009303,0.009585,0.009585,54059885
2018-01-15,0.009541,0.009651,0.008031,0.008037,0.008037,51174480
2018-01-16,0.008042,0.008040,0.004626,0.005560,0.005560,55500570
2018-01-17,0.005551,0.006350,0.004495,0.006280,0.006280,48317760
2018-01-18,0.006274,0.007137,0.005891,0.006514,0.006514,46267718
2018-01-19,0.006435,0.006882,0.006090,0.006441,0.006441,24824632
2018-01-20,0.006512,0.007077,0.006512,0.006913,0.006913,18800409
2018-01-21,0.006905,0.006905,0.005697,0.005818,0.005818,18711733
2018-01-22,0.005874,0.006208,0.005153,0.005494,0.005494,16292918
2018-01-23,0.005485,0.005739,0.005085,0.005422,0.005422,14530511
2018-01-24,0.005397,0.005829,0.005254,0.005716,0.005716,14082721
2018-01-25,0.005774,0.006271,0.005751,0.006187,0.006187,17213623
2018-01-26,0.006216,0.006423,0.005456,0.005827,0.005827,15759965
2018-01-27,0.005830,0.006075,0.005772,0.005937,0.005937,9399227
2018-01-28,0.005966,0.006185,0.005906,0.006006,0.006006,11320862
2018-01-29,0.005955,0.006053,0.005542,0.005628,0.005628,10559855
2018-01-30,0.005629,0.005654,0.004794,0.004855,0.004855,12778772
2018-01-31,0.004836,0.004993,0.004634,0.004841,0.004841,11883618
2018-02-01,0.004850,0.004905,0.003829,0.004020,0.004020,14988169
2018-02-02,0.004015,0.004016,0.002650,0.003591,0.003591,24007785
2018-02-03,0.003613,0.004410,0.003338,0.004145,0.004145,14460754
2018-02-04,0.004159,0.004267,0.003358,0.003534,0.003534,10414270
2018-02-05,0.003533,0.003590,0.002723,0.002857,0.002857,10100607
2018-02-06,0.002866,0.003572,0.002449,0.003523,0.003523,15460942
2018-02-07,0.003485,0.003889,0.003175,0.003502,0.003502,10587741
2018-02-08,0.003475,0.003979,0.003473,0.003724,0.003724,7718336
2018-02-09,0.003719,0.004096,0.003520,0.004087,0.004087,9147470
2018-02-10,0.004072,0.004448,0.003878,0.004079,0.004079,13665740
2018-02-11,0.004061,0.004237,0.003765,0.004046,0.004046,9232490
2018-02-12,0.004053,0.004479,0.004052,0.004449,0.004449,9044882
2018-02-13,0.004451,0.004595,0.004278,0.004564,0.004564,11456319
2018-02-14,0.004559,0.005520,0.004558,0.005399,0.005399,32507740
2018-02-15,0.005388,0.006365,0.005389,0.005877,0.005877,34617231
2018-02-16,0.005836,0.005975,0.005211,0.005670,0.005670,21405804
2018-02-17,0.005694,0.005903,0.005524,0.005683,0.005683,14778799
2018-02-18,0.005735,0.005759,0.005103,0.005176,0.005176,12320925
2018-02-19,0.005165,0.005602,0.005104,0.005401,0.005401,10501049
2018-02-20,0.005387,0.006720,0.005167,0.005752,0.005752,87490676
2018-02-21,0.005746,0.005996,0.005166,0.005360,0.005360,29980536
2018-02-22,0.005349,0.005599,0.004949,0.005078,0.005078,16523732
2018-02-23,0.005073,0.005654,0.004902,0.005408,0.005408,15773611
2018-02-24,0.005423,0.005611,0.004987,0.005145,0.005145,12761165
2018-02-25,0.005142,0.005215,0.004879,0.004999,0.004999,9570115
2018-02-26,0.005020,0.005280,0.004839,0.005148,0.005148,9801511
2018-02-27,0.005167,0.005328,0.005087,0.005146,0.005146,9980288
2018-02-28,0.005128,0.005278,0.004926,0.004937,0.004937,10851189
2018-03-01,0.004957,0.005153,0.004871,0.005065,0.005065,12646402
2018-03-02,0.005032,0.005082,0.004422,0.004450,0.004450,18265893
2018-03-03,0.004460,0.004673,0.004206,0.004304,0.004304,17492084
2018-03-04,0.004250,0.004467,0.004192,0.004467,0.004467,9851019
2018-03-05,0.004434,0.004496,0.004181,0.004230,0.004230,11047098
2018-03-06,0.004152,0.004163,0.003675,0.003713,0.003713,11894402
2018-03-07,0.003720,0.003790,0.003231,0.003242,0.003242,14169285
2018-03-08,0.003235,0.003571,0.003141,0.003271,0.003271,12596018
2018-03-09,0.003256,0.003369,0.002937,0.003369,0.003369,11072247
2018-03-10,0.003362,0.003559,0.003210,0.003229,0.003229,8029695
2018-03-11,0.003218,0.003508,0.003123,0.003420,0.003420,7516607
2018-03-12,0.003418,0.003471,0.003108,0.003268,0.003268,6161047
2018-03-13,0.003258,0.003416,0.003137,0.003196,0.003196,4846736
2018-03-14,0.003191,0.003243,0.002768,0.002848,0.002848,6087239
2018-03-15,0.002846,0.002935,0.002641,0.002873,0.002873,7570892
2018-03-16,0.002878,0.002975,0.002797,0.002857,0.002857,5214544
2018-03-17,0.002852,0.002889,0.002645,0.002685,0.002685,5071303
2018-03-18,0.002670,0.002670,0.002270,0.002598,0.002598,7353103
2018-03-19,0.002605,0.002844,0.002563,0.002789,0.002789,6711179
2018-03-20,0.002810,0.003045,0.002747,0.002981,0.002981,5420152
2018-03-21,0.002982,0.003122,0.002921,0.002964,0.002964,5436290
2018-03-22,0.002970,0.003015,0.002799,0.002863,0.002863,4228256
2018-03-23,0.002867,0.002882,0.002709,0.002882,0.002882,5002453
2018-03-24,0.002912,0.003017,0.002842,0.002907,0.002907,3612031
2018-03-25,0.002874,0.002895,0.002801,0.002838,0.002838,2814394
2018-03-26,0.002832,0.002862,0.002523,0.002641,0.002641,4866723
2018-03-27,0.002630,0.002637,0.002498,0.002535,0.002535,4219634
2018-03-28,0.002526,0.002617,0.002508,0.002551,0.002551,3990106
2018-03-29,0.002575,0.002581,0.002242,0.002298,0.002298,4576939
2018-03-30,0.002285,0.002344,0.002150,0.002243,0.002243,4365263
2018-03-31,0.002233,0.002351,0.002191,0.002288,0.002288,2844745
2018-04-01,0.002287,0.002329,0.002106,0.002208,0.002208,2740270
2018-04-02,0.002218,0.002281,0.002195,0.002275,0.002275,4095013
2018-04-03,0.002273,0.002439,0.002260,0.002427,0.002427,5390633
2018-04-04,0.002429,0.002449,0.002213,0.002255,0.002255,4338475
2018-04-05,0.002267,0.002273,0.002165,0.002216,0.002216,3942807
2018-04-06,0.002217,0.002233,0.002139,0.002174,0.002174,2319266
2018-04-07,0.002184,0.002333,0.002173,0.002281,0.002281,2470662
2018-04-08,0.002269,0.002367,0.002269,0.002317,0.002317,3001777
2018-04-09,0.002327,0.002385,0.002212,0.002243,0.002243,3918859
2018-04-10,0.002240,0.002487,0.002226,0.002461,0.002461,8261548
2018-04-11,0.002458,0.002826,0.002438,0.002746,0.002746,20446564
2018-04-12,0.002728,0.003081,0.002633,0.003081,0.003081,11256144
2018-04-13,0.003067,0.003481,0.003042,0.003240,0.003240,14721713
2018-04-14,0.003210,0.003422,0.003183,0.003366,0.003366,11019466
2018-04-15,0.003354,0.003741,0.003354,0.003707,0.003707,9624118
2018-04-16,0.003721,0.003989,0.003544,0.003702,0.003702,17986433
2018-04-17,0.003705,0.003939,0.003648,0.003834,0.003834,13854579
2018-04-18,0.003809,0.004418,0.003806,0.004373,0.004373,17548841
2018-04-19,0.004360,0.004719,0.004304,0.004719,0.004719,21888421
2018-04-20,0.004728,0.004828,0.004642,0.004796,0.004796,18810597
2018-04-21,0.004784,0.004791,0.004227,0.004406,0.004406,20354143
2018-04-22,0.004430,0.004699,0.004336,0.004513,0.004513,15039847
2018-04-23,0.004519,0.004674,0.004414,0.004490,0.004490,27503522
2018-04-24,0.004496,0.004829,0.004492,0.004740,0.004740,29941975
2018-04-25,0.004804,0.004839,0.004061,0.004185,0.004185,31448763
2018-04-26,0.004214,0.004690,0.004022,0.004647,0.004647,34158160
2018-04-27,0.004611,0.004751,0.004367,0.004470,0.004470,32132091
2018-04-28,0.004423,0.004636,0.004382,0.004417,0.004417,29614611
2018-04-29,0.004510,0.004583,0.004306,0.004503,0.004503,31249526
2018-04-30,0.004458,0.004563,0.004251,0.004314,0.004314,30144714
2018-05-01,0.004364,0.004365,0.004058,0.004290,0.004290,9722686
2018-05-02,0.004266,0.004532,0.004200,0.004412,0.004412,41806192
2018-05-03,0.004464,0.004713,0.004361,0.004706,0.004706,42112863
2018-05-04,0.004615,0.004636,0.004352,0.004406,0.004406,12070748
2018-05-05,0.004404,0.004471,0.004203,0.004332,0.004332,25368624
2018-05-06,0.004350,0.004398,0.003951,0.004158,0.004158,27982013
2018-05-07,0.004155,0.004207,0.003874,0.004037,0.004037,21697394
2018-05-08,0.004050,0.004518,0.004032,0.004469,0.004469,34263167
2018-05-09,0.004444,0.004494,0.003931,0.004299,0.004299,28332180
2018-05-10,0.004073,0.004448,0.003803,0.004088,0.004088,29280138
2018-05-11,0.004228,0.004227,0.003345,0.003652,0.003652,23097304
2018-05-12,0.003726,0.003909,0.003280,0.003746,0.003746,22985597
2018-05-13,0.003606,0.003870,0.003321,0.003622,0.003622,16585927
2018-05-14,0.003764,0.003812,0.003528,0.003738,0.003738,10393713
2018-05-15,0.003724,0.004041,0.003703,0.003820,0.003820,17834574
2018-05-16,0.003786,0.003846,0.003602,0.003713,0.003713,8137174
2018-05-17,0.003698,0.003788,0.003539,0.003553,0.003553,14686572
2018-05-18,0.003390,0.003709,0.003180,0.003412,0.003412,11568577
2018-05-19,0.003581,0.003761,0.003401,0.003640,0.003640,12745138
2018-05-20,0.003610,0.003803,0.003318,0.003759,0.003759,13523077
2018-05-21,0.003737,0.003769,0.003360,0.003623,0.003623,15656656
2018-05-22,0.003573,0.003630,0.003245,0.003268,0.003268,8660642
2018-05-23,0.003274,0.003635,0.002941,0.003067,0.003067,12724485
2018-05-24,0.003066,0.003171,0.002769,0.002985,0.002985,8924324
2018-05-25,0.002964,0.003092,0.002887,0.003016,0.003016,9110386
2018-05-26,0.003048,0.003064,0.002969,0.002972,0.002972,5453785
2018-05-27,0.002973,0.002987,0.002912,0.002929,0.002929,2990135
2018-05-28,0.002938,0.002944,0.002768,0.002775,0.002775,6454577
2018-05-29,0.002775,0.002986,0.002746,0.002979,0.002979,8013653
2018-05-30,0.002988,0.003038,0.002849,0.002876,0.002876,6400197
2018-05-31,0.002940,0.003006,0.002844,0.002907,0.002907,7674805
2018-06-01,0.002932,0.002967,0.002859,0.002936,0.002936,4662762
2018-06-02,0.002932,0.003074,0.002916,0.003051,0.003051,5075892
